rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
678,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","2,980",Q1,421,673.0,1363,54391,12100,1355,"7,57","80,82","24,34",262,0,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2013,,,,,,,,,,,['Energy'],0.5621925509486999,D1
951,29348,Energy,journal,"18736785, 03605442","2,458",Q1,251,837.0,2148,31407,11955,2109,"5,30","37,52","22,81",115,0,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2013,,,,,,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
1384,21100200805,Scientific Reports,journal,20452322,"1,998",Q1,315,2416.0,981,94931,5363,981,"5,47","39,29","27,33",148,0,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2013,,,,,,,,,,,['Multidisciplinary'],1.6,D1
1404,23916,Environmental Pollution,journal,"02697491, 18736424","1,976",Q1,301,494.0,1390,23832,6576,1360,"4,39","48,24","36,50",186,0,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2013,,,,,,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1713,10600153309,PLoS ONE,journal,19326203,"1,772",Q1,435,31123.0,43752,1466116,190207,43751,"4,04","47,11","39,95",4558,0,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2013,,,,,,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
1908,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,672",Q1,131,160.0,300,6025,1214,288,"3,23","37,66","39,61",81,0,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2013,,,,,,,,,,,['Environmental Science'],5.93490746649649,D1
2019,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,618",Q1,309,619.0,805,31874,4170,801,"4,61","51,49","35,04",260,0,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2013,,,,,,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
2033,29372,Energy Conversion and Management,journal,01968904,"1,613",Q1,250,615.0,1093,21528,5262,1087,"4,76","35,00","19,87",33,0,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2013,,,,,,,,,,,['Energy'],1.0541110330288124,D1
2232,25349,Science of the Total Environment,journal,"00489697, 18791026","1,527",Q1,353,951.0,2389,49685,9642,2335,"3,56","52,25","37,33",406,0,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2013,,,,,,,,,,,['Environmental Science'],4.790748898678414,D1
2752,20292,Ecological Indicators,journal,1470160X,"1,347",Q1,183,369.0,712,20882,2907,697,"4,01","56,59","35,23",140,0,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2013,,,,,,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
